#    L    TT             EE             TE             PP             TP          
   283    0.43991E+04    0.61174E+01    0.10461E+03    0.16600E+07    0.12270E+04
   284    0.43688E+04    0.62660E+01    0.10546E+03    0.16531E+07    0.12165E+04
   285    0.43383E+04    0.64164E+01    0.10628E+03    0.16462E+07    0.12060E+04
   286    0.43075E+04    0.65684E+01    0.10707E+03    0.16393E+07    0.11956E+04
   287    0.42764E+04    0.67221E+01    0.10783E+03    0.16325E+07    0.11852E+04
   288    0.42453E+04    0.68773E+01    0.10856E+03    0.16258E+07    0.11749E+04
   289    0.42139E+04    0.70342E+01    0.10926E+03    0.16191E+07    0.11647E+04
   290    0.41824E+04    0.71924E+01    0.10993E+03    0.16124E+07    0.11546E+04
   291    0.41508E+04    0.73527E+01    0.11055E+03    0.16058E+07    0.11445E+04
   292    0.41187E+04    0.75141E+01    0.11116E+03    0.15992E+07    0.11346E+04
   293    0.40868E+04    0.76761E+01    0.11171E+03    0.15926E+07    0.11246E+04
   294    0.40547E+04    0.78403E+01    0.11225E+03    0.15861E+07    0.11148E+04
   295    0.40226E+04    0.80051E+01    0.11274E+03    0.15796E+07    0.11050E+04
   296    0.39902E+04    0.81721E+01    0.11321E+03    0.15732E+07    0.10953E+04
   297    0.39578E+04    0.83390E+01    0.11364E+03    0.15668E+07    0.10856E+04
   298    0.39251E+04    0.85080E+01    0.11403E+03    0.15605E+07    0.10760E+04
   299    0.38925E+04    0.86783E+01    0.11439E+03    0.15541E+07    0.10665E+04
   300    0.38597E+04    0.88486E+01    0.11470E+03    0.15479E+07    0.10570E+04
   301    0.38269E+04    0.90203E+01    0.11499E+03    0.15416E+07    0.10476E+04
   302    0.37941E+04    0.91927E+01    0.11525E+03    0.15354E+07    0.10383E+04
   303    0.37612E+04    0.93664E+01    0.11547E+03    0.15293E+07    0.10290E+04
   304    0.37283E+04    0.95415E+01    0.11564E+03    0.15231E+07    0.10198E+04
   305    0.36954E+04    0.97165E+01    0.11578E+03    0.15170E+07    0.10106E+04
   306    0.36624E+04    0.98922E+01    0.11589E+03    0.15110E+07    0.10015E+04
   307    0.36294E+04    0.10069E+02    0.11595E+03    0.15050E+07    0.99244E+03
   308    0.35965E+04    0.10247E+02    0.11599E+03    0.14990E+07    0.98345E+03
   309    0.35636E+04    0.10425E+02    0.11598E+03    0.14930E+07    0.97453E+03
   310    0.35307E+04    0.10602E+02    0.11594E+03    0.14871E+07    0.96567E+03
   311    0.34979E+04    0.10782E+02    0.11586E+03    0.14812E+07    0.95687E+03
   312    0.34651E+04    0.10961E+02    0.11575E+03    0.14754E+07    0.94813E+03
   313    0.34324E+04    0.11140E+02    0.11559E+03    0.14695E+07    0.93946E+03
   314    0.33997E+04    0.11321E+02    0.11540E+03    0.14638E+07    0.93084E+03
   315    0.33671E+04    0.11500E+02    0.11518E+03    0.14580E+07    0.92229E+03
   316    0.33346E+04    0.11680E+02    0.11491E+03    0.14523E+07    0.91380E+03
   317    0.33022E+04    0.11859E+02    0.11461E+03    0.14466E+07    0.90537E+03
   318    0.32699E+04    0.12040E+02    0.11427E+03    0.14409E+07    0.89700E+03
   319    0.32377E+04    0.12220E+02    0.11390E+03    0.14353E+07    0.88870E+03
